Name	Type	Category	Base Power	Accuracy	Priority	Description	Max PP	Makes Contact?	Level	Range	Natural Users	Flavor Text	Porting Status	Meta
Agility	Psychic	Status			0	Agility raises the user's Speed by two stages	30	No	25	Self	83	The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.	OK	
Air Cutter	Flying	Special	60	19	0	Air Cutter deals damage and uses critical dice. Pokémon with the abilities Battle Armor or Shell Armor, or those under the effects of Lucky Chant, are protected against critical hits.	25	No	16	1m x 20m line originating from the user	18	The user launches razor-like wind to slash opposing Pokémon. Critical hits land more easily.	OK	
Air Slash	Flying	Special	75	19	0	Air Slash deals damage and has a 30% chance (a d20 rolls 15 or higher) of causing the target to flinch. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.	15	No	35	Single Pokémon within 10m	39	The user attacks with a blade of air that slices even the sky. This may also make the target flinch.	OK	
Ally Switch	Psychic	Status			2	Ally Switch swaps the positions of the user with a teammate. If that teammate was trapped by an opponent using Bind, Wrap, Block, etc., the user is now trapped in that same manner. The user cannot switch with allies in the first phase of Fly, Dig, Dive, Bounce, Shadow Force, or Sky Drop unless the user also knows the corresponding Move.	15	No	24	Ally Pokémon within view	9	The user teleports using a strange power and switches places with one of its allies.	OK	Reinterpreted the switch based on movement rules
Amnesia	Psychic	Status			0	Amnesia raises the user's Special Defense by two stages.	20	No	32	Self	41	The user temporarily empties its mind to forget its concerns. This sharply raises the user’s Sp. Def stat.	OK	
Anchor Shot	Steel	Physical	80	20	0	The user entangles the target with its anchor chain while attacking. The target becomes unable to move. Entanglement is treated as a normal Status Effect.	20	Yes	52	Single adjacent Pokémon	1	The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.	OK	
Ancient Power	Rock	Special	60	20	0	Ancient Power deals damage and has a 10% chance (a d20 rolls 19 or 20) of raising all the user's stats at once - Attack, Defense, Special Attack, Special Defense and Speed - by one stage each.	5	Yes	16	Single adjacent Pokémon	74	The user attacks with a prehistoric power. This may also raise all the user’s stats at once.	OK	
Apple Acid	Grass	Special	80	20	0	The user attacks the target with an acidic liquid created from tart apples. Lowers target's Special Defense by one stage (100% chance)	10	No	28	Single Pokémon within 10m	1	The user attacks the target with an acidic liquid created from tart apples. This also lowers the target’s Sp. Def stat.	OK	
Aqua Jet	Water	Physical	40	20	1	Aqua Jet deals damage and has a priority of +1.	20	No	1	Single Pokémon within 10m	18	The user lunges at the target at a speed that makes it almost invisible. This move always goes first.	OK	
Aqua Ring	Water	Status			0	The user of Aqua Ring surrounds itself with a veil of water, which restores 10% of its maximum HP at the end of each turn (including this one) for 5 turns.	20	No	32	Self	20	The user envelops itself in a veil made of water. It regains some HP every turn.	OK	does the healing take effect on first turn?
Aqua Tail	Water	Physical	90	18	0	Aqua Tail deals damage with no additional effect.	10	Yes	30	Single adjacent Pokémon	28	The user attacks by swinging its tail as if it were a vicious wave in a raging storm.	OK	
Arm Thrust	Fighting	Physical	15	20	0	Arm Thrust hits 1d4+1 times per turn used. See rules on "Multi-Hit Moves" for details.	20	Yes	4	One or more adjacent Pokémon	2	The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.	OK	Reinterpreted rules for this and all other multi-hit attacks so that they can target multiple foes and the number of hits is determined at the start. This setup still potentially requires the user to roll Accuracy on each hit which might be annoying.
Aromatherapy	Grass	Status			0	Cures all status problems in your party, including stat decreases and Accuracy debuffs. Temporary type changes (such as Forest's Curse) and effects being actively maintained by another Pokémon (such as Bind or Telekinesis) are not changed. This Move may only be used once per battle.	5	No	25	All ally Pokémon within 10m	33	The user releases a soothing scent that heals all status conditions affecting the user’s party.	OK	Original move wasn't clear on what statuses it cured, so added more details for that. Restricted to once per battle for balance.
Aromatic Mist	Fairy	Status			0	Aromatic Mist raises the Special Defense of a teammate by one stage.	20	No	6	Single Pokémon within 10m	11	The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.	OK	
Assist	Normal	Status			0	Assist uses a random move known by any of the user's ally Pokémon. The move is chosen by dice roll from the GM. Once the move is chosen it cannot be canceled unless it is physically impossible to perform in the current context (e.g. Attract being used by a genderless Pokémon). 	20	No	20	Move-dependent	5	Assist uses a random move known by any of the user's party Pokémon.	OK	Not sure of the specific mechanics for choosing a move
Assurance	Dark	Physical	60	20	0	Assurance deals damage, and if the target has already taken damage since their last turn, its power doubles to 120.	10	Yes	16	Single adjacent Pokémon	33	If the target has already taken some damage in the same turn, this attack’s power is doubled.	OK	
Astonish	Ghost	Physical	30	20	0	Astonish deals damage and has a 30% chance (a d20 rolls 15 or higher) of causing the target to flinch. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.	15	Yes	1	Single adjacent Pokémon	85	The user attacks the target while shouting in a startling fashion. This may also make the target flinch.	OK	
Astral Barrage	Ghost	Special	120	20	0	The user attacks by sending a frightful amount of small ghosts at opposing Pokémon. This Move may only be used once per battle.	5	No	70	All enemy Pokémon within 20m	1	The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.	OK	
Attack Order	Bug	Physical	90	20	0	Attack Order deals damage and uses critical dice. Pokémon with the abilities Battle Armor or Shell Armor, or those under the effects of Lucky Chant, are protected against critical hits.	15	No	40	Single adjacent Pokémon	1	The user calls out its underlings to pummel the target. Critical hits land more easily.	OK	
Attract	Normal	Status			0	Attract causes Pokémon of the opposite gender to become infatuated. Infatuated Pokémon have a 50% chance of being immobilized by love each turn and unable to attack. Attract will fail on Pokémon of the same gender, genderless Pokémon and those with the ability Oblivious. This Move cannot be used by genderless Pokémon.	15	No	18	Single Pokémon within view	10	If it is the opposite gender of the user, the target becomes infatuated and less likely to attack.	OK	
Aura Sphere	Fighting	Special	80	∞	0	Aura Sphere deals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage of Bounce, Dig, Dive, Fly, Shadow Force or Sky Drop.	20	No	45	Single adjacent Pokémon	13	The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.	OK	
Aura Wheel	Electric	Agility	110	20	0	Aura Wheel is the signature move of Morpeko. It deals damage, but changes to Dark type when Morpeko is in Hangry Mode.	10	No	55	All ally Pokémon within 10m	1	Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move’s type changes depending on the user’s form.	OK	Changed to Agility attack
Aurora Beam	Ice	Special	65	20	0	Aurora Beam deals damage and has a 10% chance (a d20 rolls 19 or 20) of lowering the target's Attack by one stage.	20	No	24	1m x 20m line originating from the user	17	The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.	OK	Changed to a line AOE attack
Aurora Veil	Ice	Status			0	Aurora Veil halves damage from Physical and Special attacks for five turns. The reduction applies to the final damage roll and is rounded down. This move can only be used in a hailstorm.	20	No	36	All ally Pokémon within the hailstorm	7	This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.	OK	
Autotomize	Steel	Status			0	Autotomize raises the user's Speed by two stages but lowers its Defense by one stage.	15	No	20	Self	17	The user sheds part of its body to make itself lighter and sharply raise its Speed stat.	OK?	Removed weight change mechanic
Avalanche	Ice	Physical	150	20	-4	A torrent of snow and ice falls down on the targeted area. This Move does not land until the beginning of the user's next turn. Those hit by the Avalanche are buried and must use their next move action to escape. 	5	No	40	5m diameter circle within 10m	10	A torrent of snow and ice builds up and then falls upon the targeted area.	OK	Makes more narrative sense as an AOE attack. Since movement and turn order rules make it easily dodged, replaced the conditional power boost with a constant high power. Also added "buried" status effect afterwards.
Baby-Doll Eyes	Fairy	Status			1	Baby-Doll Eyes lowers the target's Attack by one stage, with increased priority.	30	No	15	Single Pokémon within view	28	The user stares at the target with its baby-doll eyes, which lowers the target’s Attack stat. This move always goes first.	OK	
Baneful Bunker	Poison	Status			4	Baneful Bunker prevents any attacks targeted at the user from striking, until the beginning of the user's next turn. If a contact move is targeted at the Baneful Bunker user on that turn, the attacker becomes poisoned. It has priority +4 so will activate before most other moves. Poison or Steel type Pokémon, those with the ability Immunity or those behind a Substitute cannot be poisoned. The effects do not stack with the Rocky Helmet item or the Rough Skin or Iron Barbs abilities. The accuracy of Baneful Bunker drops by one level each time it is used consecutively after itself or Protect, Detect, Endure, Wide Guard, Quick Guard, Spiky Shield, or King's Shield.	10	No	1	Self	1	In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.	OK	
Barrage	Normal	Physical	15	17	0	Barrage hits 1d4+1 times per turn used. See rules on "Multi-Hit Moves" for details.	20	No	1	One or more Pokémon within 10m	3	Round objects are hurled at the target to strike two to five times in a row.	OK	
Barrier	Psychic	Status			0	Barrier raises the user's Defense by two stages.	20	No	28	Self	8	The user throws up a sturdy wall that sharply raises its Defense stat.	OK	
Baton Pass	Normal	Status			0	Baton Pass transfers all status effects from one target to another. Targets must either be two allies, or one ally and the user. Existing effects on the destination Pokémon remain in place, but transferred effects are removed from the source Pokémon. These effects are passed: - Increases and decreases in Attack, Defense, Special Attack, Special Defense and Speed. For example the effects from Nasty Plot, Swords Dance and Screech (if targeted at the source Pokémon). - The sure hit effect from Lock-On and Mind Reader. In other words, after using either move on the source Pokémon followed by Baton Pass, the next move from the destination Pokémon will always hit. - The confusion status ailment. - A Substitute, which keeps its remaining HP. - Movement-inhibiting effects from Mean Look and Spider Web. - Critical hit ratio increase from the move Focus Energy or a Lansat Berry. - The HP-restoring effects of Aqua Ring and Ingrain. - The effects of the moves Embargo, Gastro Acid, Magnet Rise, Perish Song and Power Trick.	40	No	1	Any two ally Pokémon within view, including self	27	The user switches places with a party Pokémon in waiting and passes along any stat changes.	OK	Tricky tricky... It would be overpowered if you could pass to foes, so limited to allies only. Added the option to pass between unrelated allies. Is that unreasonable?
Beak Blast	Flying	Physical	100	20	-3	The user first heats up its beak, and then it attacks the target at the beginning of the user's next turn. Making direct contact with the Pokémon while it's heating up its beak results in a burn.	15	No	1	Single Pokémon within 10m	1	The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it’s heating up its beak results in a burn.	OK	
Beat Up	Dark	Physical	20	20	0	Beat Up gains +40 power for every ally Pokémon within 5m of the user that is not Fainted, has free movement, is not actively engaged in another attack, and is not affected by a status effect such as Sleep or Paralysis.	10	No	12	Single adjacent Pokémon	9	The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.	OK?	Original move had every nearby Pokémon do their own attack roll, but that seems like too many rolls with too many stats. So just changed the group buff to a flat +2 each. Nobody makes contact with the target so that makes things a bit easier
Belch	Poison	Special	120	18	0	Belch deals damage, but only works if the user has previously consumed a Berry during the battle.	10	No	40	Single Pokémon within 10m	18	The user lets out a damaging belch at the target.	OK	
Belly Drum	Normal	Status			0	User loses 50% of its max HP, but Attack raises to maximum (+6 levels)	10	No	38	Self	15	The user maximizes its Attack stat in exchange for HP equal to half its max HP.	OK	
Bestow	Normal	Status			0	Bestow gives the user's held item to the target. It will not work if the target is already holding an item or is behind a Substitute. Pokémon with the ability Sticky Hold cannot give away their held item. The Griseous Orb cannot be removed from Giratina; Type Plates cannot be removed from Arceus; Drives cannot be removed from Genesect; and Mega Stones cannot be removed from their respective Pokémon.	15	No	25	Single adjacent Pokémon	11	The user passes its held item to the target when the target isn’t holding an item.	OK	
Bide	Normal	Physical	-	∞	1	The user of Bide stores energy for 2 turns. At the end of the 2nd turn, the Pokémon unleashes energy, dealing twice the HP damage it received. The turn which Bide is used is turn 0. The next full turn is turn 1. The end of the next full turn (turn 2) is the actual attack. Bide deals fixed, typeless damage, so will hit Ghost-type Pokémon. It also ignores range, changes to the Accuracy and Evasion stats, and can hit Pokémon in the invulnerable stage of Bounce, Dig, Dive, Fly, Shadow Force or Sky Drop. Bide always hits the last Pokémon to attack the user (including teammates). If no damage was received, the attack fails and the user's turn ends. This move has priority, meaning it can be used proactively before the user's normal turn, in which case their regular "movement-only" turn is exhausted. Pokémon cannot use normal movement while charging energy. A Pokémon using Bide while suffering from a status effect will still apply those effects during all turns, but Paralysis and Confusion will not cancel the attack except on the final turn. The user may cancel Bide during turn 1, but no attack will happen.	10	Yes	8	Self	57	The user endures attacks for two turns, then strikes back to cause double the damage taken.	OK	Had to clarify a lot of things related to status effects that I either guessed from the games or inferred from tabletop rules. There's probably still some edge cases. The rules say Paralyze and Confuse will cancel moves in progress but this is a somewhat of an exception
Bind	Normal	Physical	40	17	0	Bind inflicts damage immediately and then traps the opponent. See rules on "Trap Moves" for details.	20	Yes	1	Single adjacent Pokémon	23	Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.	OK	Changed the rules to make binding moves not so cheap. The victim can attempt to break free, and can also still use Moves while bound.
Bite	Dark	Physical	60	20	0	Bite deals damage and has a 30% chance (a d20 rolls 15 or higher) of causing the target to flinch. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.	25	Yes	12	Single adjacent Pokémon	134	The target is bitten with viciously sharp fangs. This may also make the target flinch.	OK	
Blast Burn	Fire	Special	150	18	0	User loses their next turn due to recharge.	5	No	65	5m diameter circle within 20m	0	The target is razed by a fiery explosion. The user can’t move on the next turn.	OK	
Blaze Kick	Fire	Physical	85	18	0	Blaze Kick deals damage and has a 10% chance (a d20 rolls 19 or 20) of burning the target. It also uses critical dice. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned. Pokémon with the abilities Battle Armor or Shell Armor, or those under the effects of Lucky Chant, are protected against critical hits.	10	Yes	42	Single adjacent Pokémon	3	The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.	OK	
Blizzard	Ice	Special	110	14	0	Blizzard deals damage and has a 10% chance (a d20 rolls 19 or 20) of freezing each target. It will affect all Pokémon caught within its radius. Ice type Pokémon, those with the ability Magma Armor or those behind a Substitute cannot be frozen. During a hailstorm, Blizzard ignores accuracy.	5	No	52	15m diameter circle within 30m	39	A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.	OK	
Block	Normal	Status			0	As long as the user and their target are adjacent to each other, if the target attempts to move they are automatically hit by the user with a Normal-type attack with base power 60, after which the movement is allowed. Moves which incorporate their own movement such as Dig, Teleport, Bounce, and Fly can bypass the block without harm.	5	No	1	Single adjacent Pokémon	10	The user blocks the target’s way with arms spread wide to prevent escape.	OK?	Basically "you get an opportunity attack on your target if they move away"
Blue Flare	Fire	Special	130	17	0	Blue Flare deals damage and has a 20% chance (a d20 rolls 17 or higher) of burning the target. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned. This Move may only be used once per battle.	5	No	88	Single Pokémon within 20m	1	The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.	OK	
Body Press	Fighting	Physical	80	20	0	The user's Defense stat dictates attack power, rather than their Attack stat.	10	Yes	42	Single adjacent Pokémon	1	The user attacks by slamming its body into the target. The higher the user’s Defense, the more damage it can inflict on the target.	OK	
Body Slam	Normal	Physical	85	20	0	Body Slam deals damage and has a 30% chance (a d20 rolls 15 or higher) of paralyzing the target. Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed. If the target has used Minimize, Body Slam ignores accuracy and deals double damage (after the attack role resolves).	15	Yes	32	Single adjacent Pokémon	40	The user drops onto the target with its full body weight. This may also leave the target with paralysis.	OK	
Bolt Beak	Electric	Physical	85	20	0	If the target did not deal damage in their previous turn, the power of this move is doubled.	10	Yes	63	Single adjacent Pokémon	2	The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled.	OK?	Changed "if this move goes first" behavior to "punish targets that haven't dealt damage". I get the feeling this move is overpowered in general, so it should be rarely seen...
Bolt Strike	Electric	Physical	130	17	0	Bolt Strike deals damage and has a 20% chance (a d20 rolls 17 or higher) of paralyzing the target. Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed. This Move may only be used once per battle.	5	Yes	88	Single adjacent Pokémon	1	The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.	OK	
Bone Club	Ground	Physical	65	17	0	Bone Club deals damage and has a 10% chance (a d20 rolls 19 or 20) of causing the target to flinch. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.	20	No	7	Single adjacent Pokémon	5	The user clubs the target with a bone. This may also make the target flinch.	OK	
Bone Rush	Ground	Physical	25	18	0	Bone Rush hits 1d4+1 times per turn used. See rules on "Multi-Hit Moves" for details.	10	No	31	One or more adjacent Pokémon	5	The user strikes the target with a hard bone two to five times in a row.	OK	
Bonemerang	Ground	Physical	50	18	0	Bonemerang deals damage and will strike twice (with 50 base power each time). Each strike of Bonemerang is treated like a separate attack. See rules on "Multi-Hit Moves" for more details.	10	No	48	One or two Pokémon within 10m	3	The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.	OK	
Boomburst	Normal	Special	140	20	0	Boomburst deals massive damage and targets all adjacent Pokémon in battle, including allies.	10	No	62	All Pokémon within 10m radius	8	The user attacks everything around it with the destructive power of a terrible, explosive sound.	OK	
Bounce	Flying	Physical	85	17	0	The user of Bounce will spring up on the first turn, disappearing from view and becoming invulnerable to most attacks. At the end of the second turn, Bounce deals damage and has a 30% chance (a d20 rolls 15 or higher) of paralyzing the target. The user also moves adjacent to the target. While in the air, the Pokémon can only be hit by the moves Gust, Twister, Thunder, Sky Uppercut and Smack Down, with Gust and Twister dealing twice normal damage. Moves from No Guard Pokémon, or any move following an identify move can also hit for regular power. Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed. If the user is holding a Power Herb, Bounce executes in one turn.	5	Yes	33	Single Pokémon within move distance	26	The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis.	OK	Mostly copied from Fly
Branch Poke	Grass	Physical	40	20	0	The user attacks the target by poking it with a sharply pointed branch.	40	Yes	1	Single adjacent Pokémon	5	The user attacks the target by poking it with a sharply pointed branch.	OK	
Brave Bird	Flying	Physical	120	20	0	Brave Bird deals damage, but the user receives one-third of the damage it inflicted in recoil. In other words, if the attack does 90 HP damage to the opponent, the user will lose 30 HP.	15	Yes	65	Single adjacent Pokémon	17	The user tucks in its wings and charges from a low altitude. This also damages the user quite a lot.	OK	Doing 1/3 might be difficult without a calculator
Breaking Swipe	Dragon	Physical	60	20	0	Hits multiple opponents and lowers their Attack by one level (100% chance).	15	Yes	24	All adjacent opponent Pokémon	1	The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.	OK	Reinterpreted targeting slightly
Brick Break	Fighting	Physical	75	20	0	Brick Break deals damage, but removes the effects of Reflect and Light Screen before attacking.	15	Yes	30	Single adjacent Pokémon	13	The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect.	OK	
Brine	Water	Special	65	20	0	Power doubles if opponent's HP is less than 50%.	10	No	24	Single Pokémon within 10m	26	If the target’s HP is half or less, this attack will hit with double the power.	OK	
Brutal Swing	Dark	Physical	60	20	0	The user swings its body around violently to inflict damage on everything in its vicinity.	20	Yes	12	All adjacent Pokémon (ally or enemy)	11	The user swings its body around violently to inflict damage on everything in its vicinity.	OK	
Bubble	Water	Special	40	20	0	Bubble deals damage and has a 10% chance (a d20 rolls 19 or 20) of lowering the target's Speed by one stage.	30	No	1	All Pokémon in a 90 degree cone extending forwards 15m	53	A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.	OK	"I cast Cone of Bubbles"
Bubble Beam	Water	Special	65	20	0	Bubble Beam deals damage and has a 10% chance (a d20 rolls 19 or 20) of lowering the target's Speed by one stage.	20	No	20	Single Pokémon within 10m	36	A spray of bubbles is forcefully ejected at the target. This may also lower the target’s Speed stat.	OK	
Bug Bite	Bug	Agility	60	20	0	Bug Bite deals damage, and if the target is holding a Berry, the user eats it and gains its effect. For example, if the target is holding a Sitrus Berry the user will recover 25% of its HP. Bug Bite cannot steal a berry from a Substitute.	20	Yes	16	Single adjacent Pokémon	31	The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.	OK	
Bug Buzz	Bug	Special	90	20	0	Bug Buzz deals damage and has a 10% chance (a d20 rolls 19 or 20) of lowering the target's Special Defense by one stage.	10	No	44	Single Pokémon within 10m	18	The user generates a damaging sound wave by vibration. This may also lower the target’s Sp. Def stat.	OK	
Bulk Up	Fighting	Status			0	Bulk Up raises the user's Attack and Defense by one stage each.	20	No	25	Self	22	The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats.	OK	
Bulldoze	Ground	Physical	60	20	0	Bulldoze deals damage and lowers each target's Speed by one stage.	20	No	15	All Pokémon within 10m (ally or enemy)	33	The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.	OK	Made into indiscriminate AOE
Bullet Punch	Steel	Physical	40	20	1	Bullet Punch deals damage and has a priority of +1.	30	Yes	1	Single adjacent Pokémon	5	The user strikes the target with tough punches as fast as bullets. This move always goes first.	OK	
Bullet Seed	Grass	Physical	25	20	0	Bullet Seed hits 1d4+1 times per turn used. See rules on "Multi-Hit Moves" for details.	30	No	20	One or more Pokémon within 10m	13	The user forcefully shoots seeds at the target two to five times in a row.	OK	
Burn Up	Fire	Special	130	20	0	To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type. This Move may only be used once per battle.	5	No	65	Single Pokémon within 10m	7	To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.	OK	Restricted to once per battle
Burning Jealousy	Fire	Special	70	20	0	Hits all opponents, and inflicts Burn on any that have had their stats boosted since the user's last turn.	5	No	60	All opponent Pokémon within 10m	0		OK	reinterpreted as AOE effect and clarified turn order
Calm Mind	Psychic	Status			0	Calm Mind raises the user's Special Attack and Special Defense by one stage each.	20	No	35	Self	31	The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.	OK	
Camouflage	Normal	Status			0	Camouflage causes the user to change its type based on the current terrain (by GM's judgment). If the resulting type is different from the user's regular type, the user's Evasion is increased by one stage while they are camouflaged.	20	No	19	Self	9	The user’s type is changed depending on its environment, such as at water’s edge, in grass, or in a cave.	OK	Type is up to interpretation a bit, but I really like this move so I want to make it viable. Added evasion increase while camouflaged
Captivate	Normal	Status			0	Captivate lowers the Special Attack of each target by two stages, if they are of the opposite gender to the user. Captivate will fail if both Pokémon are the same gender, either Pokémon is genderless, or the target has the ability Oblivious.	20	No	39	All enemy Pokémon within view	36	If any opposing Pokémon is the opposite gender of the user, it is charmed, which harshly lowers its Sp. Atk stat.	OK	
Celebrate	Normal	Status			0	The Pokémon congratulates you on your special day. No battle effect.	40	No	1	Self	0	The Pokémon congratulates you on your special day!	OK	This should have an out-of-combat effect
Charge	Electric	Status			0	Charge raises the user's Special Defense by one stage, and if this Pokémon's next move is a damage-dealing Electric-type attack, it will deal double damage.	20	No	10	Self	41	The user boosts the power of the Electric move it uses on the next turn. This also raises the user’s Sp. Def stat.	OK	
Charge Beam	Electric	Special	50	18	0	Charge Beam deals damage and has a 70% chance (a d20 rolls 7 or higher) of raising the user's Special Attack by one stage.	10	No	1	Single Pokémon within 10m	8	The user attacks the target with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.	OK	
Charm	Fairy	Status			0	Charm lowers the target's Attack by two stages.	20	No	12	Single Pokémon within 10m	62	The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target’s Attack stat.	OK	
Chatter	Flying	Special	65	20	0	Chatter deals damage and causes the target to become confused. Pokémon with the ability Own Tempo or those behind a Substitute cannot be confused.	20	No	21	Single Pokémon within 10m	2	The user attacks the target with sound waves of deafening chatter. This confuses the target.	OK	
Chip Away	Normal	Physical	70	20	0	Chip Away deals damage, but ignores changes to the target's stats (i.e. Defense and Evasion in this case). Note this does not include the effects of screens like Reflect as they are different to regular stat boosts.	20	Yes	25	Single adjacent Pokémon	29	Looking for an opening, the user strikes consistently. The target’s stat changes don’t affect this attack’s damage.	OK	
Circle Throw	Fighting	Physical	60	18	-1	The user grabs the target and spins them in a circle. At the beginning of the user's next turn, they throw the target to a space up to 20m away within view and inflict damage. The target may also suffer additional damage at the GM's discretion. Grabbed Pokémon lose their regular movement, but they can still use Moves during their turn. This Move cannot be used against opponents who are Rooted. Opponents who are raised using Levitate or similar effects do not suffer damage from the throw.	10	Yes	12	Single adjacent Pokémon	4	The target is spun in a circle and thrown far away.	OK?	Changed the "swap out" mechanic with a forced movement one. I am basing this one kind of on Sky Drop with the grab mechanic. Since this move could potentially also throw the target into lava or whatever, I added the possibility of extra damage.
Clamp	Water	Physical	35	17	0	Clamp inflicts damage immediately and then traps the opponent. See rules on "Trap Moves" for details.	15	Yes	25	Single adjacent Pokémon	4	The target is clamped and squeezed by the user’s very thick and sturdy shell for four to five turns.	OK	
Clanging Scales	Dragon	Special	110	20	0	Clanging Scales deals damage but lowers the user's Defense by one stage after attacking.	5	No	1	All adjacent enemy Pokémon	1	The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user’s Defense stat goes down after the attack.	OK	
